,hash,number,category
0,CatLover,"52,389,393",pets
1,of,"22,170,293",pets
2,DogLovers,"43,901,458",pets
3,cute,"638,527,004",pets
4,cats,"126,400,600",pets
5,dogstagram,"110,886,048",pets
6,puppy,"165,169,598",pets
7,catstagram,"83,938,373",pets
8,dogs,"136,031,640",pets
9,animal,"70,335,366",pets
10,animals,"84,771,436",pets
11,DogLife,"43,909,395",pets
12,cachorro,"10,600,634",pets
13,instagram,"720,497,168",pets
14,DogOfTheDay,"63,406,370",pets
15,love,"2,147,483,647",pets
16,pets,"80,209,381",pets
17,petstagram,"65,268,828",pets
18,PetLovers,"10,894,671",pets
19,DogsOfInstagram,"248,332,856",pets
20,dog,"314,469,506",pets
21,doglover,"68,751,847",pets
22,instagood,"1,400,110,782",pets
23,instapet,"28,006,052",pets
24,PetsOfInstagram,"46,951,408",pets
25,CatsOfInstagram,"167,543,908",pets
26,pet,"113,034,482",pets
27,cat,"245,249,809",pets
28,instadog,"98,453,690",pets
